Filename,WRPText,MonthText,EventText,LocationText,Prefix
a_01.png,,,,,a
a_02.png,,,,,a
a_03.png,,,,,a
a_04.png,,,,,a
a_05.png,,,,,a
a_06.png,,,,,a
a_07.png,,,,,a
a_08.png,,,,,a
a_09.png,,,,,a
a_10.png,,,,,a
a_11.png,,,,,a
a_12.png,,,,,a
a_13.png,,,,,a
a_14.png,,,,,a
a_15.png,,,,,a
b_16.png,,,,,b
b_17.png,,,,,b
b_18.png,,,,,b
b_19.png,,,,,b
b_20.png,,,,,b
b_21.png,,,,,b
b_22.png,,,,,b
b_23.png,,,,,b
b_24.png,,,,,b
b_25.png,,,,,b
b_26.png,,,,,b
b_27.png,,,,,b
b_28.png,,,,,b
b_29.png,,,,,b
b_30.png,,,,,b
c_31.png,FCJ,June,,Summer Grounds,c
c_32.png,FCJ,June,,Summer Grounds,c
c_33.png,FCJ,June,,Summer Grounds,c
c_34.png,FCJ,June,,Summer Grounds,c
c_35.png,FCJ,June,,Summer Grounds,c
c_36.png,FPF,July,,Summer Grounds,c
c_37.png,FPF,July,,Summer Grounds,c
c_38.png,FPF,July,,Summer Grounds,c
c_39.png,FPF,July,,Summer Grounds,c
c_40.png,FPF,July,,Summer Grounds,c
c_41.png,FPF,July,,Summer Grounds,c
c_42.png,FPF,July,,Summer Grounds,c
c_43.png,FCF,August,,Summer Grounds,c
c_44.png,FCF,August,Migration (Bye!),,c
c_45.png,FCF,August,Migration (Bye!),,c
c_45_1.png,FCF,August,Migration (Bye!),,c
c_45_2.png,FCF,August,Migration (Bye!),,c
c_46.png,FCF,September,,Wintering Grounds,c
c_47.png,FCF,September,,Wintering Grounds,c
c_48.png,FCF,October,,Wintering Grounds,c
c_49.png,FCF,October,,Wintering Grounds,c
c_50.png,FCF,November,,Wintering Grounds,c
c_51.png,FCF,November,,Wintering Grounds,c
c_52.png,FCF,December,,Wintering Grounds,c
c_53.png,FCF,December,,Wintering Grounds,c
c_54.png,FCF,January,,Wintering Grounds,c
c_55.png,FCF,January,,Wintering Grounds,c
c_56.png,FCF,February,,Wintering Grounds,c
c_57.png,FCF,February,,Wintering Grounds,c
c_58.png,FCF,March,Migration (Hello!),,c
c_59.png,FCF,March,Migration (Hello!),,c
c_59_1.png,FCF,March,Migration (Hello!),,c
c_59_2.png,FCF,March,Migration (Hello!),,c
c_60.png,FCF,April,Breeding Season,Summer Grounds,c
c_61.png,FCF,April,Breeding Season,Summer Grounds,c
c_62.png,FCF,May,Breeding Season,Summer Grounds,c
c_63.png,FCF,May,Breeding Season,Summer Grounds,c
i_84.png,SPB,June,,Summer Grounds,i
i_85.png,SPB,June,,Summer Grounds,i
i_86.png,SPB,June,,Summer Grounds,i
i_87.png,SPB,June,,Summer Grounds,i
i_88.png,SPB,June,,Summer Grounds,i
i_89.png,SPB,June,,Summer Grounds,i
i_90.png,SPB,June,,Summer Grounds,i
